Grand livre auxiliaire - Comptes clients (411) - Export du 13/08/2026
Période : 01/01/2026 - 31/07/2026

Date;Journal;Numéro de compte;Libellé du compte;Numéro de pièce;Libellé;Date d'échéance;Débit;Crédit;Lettrage
12/01/2026;VE;411MARTINS;MARTIN Sophie;FA-2026-0101;Formation Data Analyst - Solde;11/02/2026;3 500,00;;A1
10/02/2026;BQ;411MARTINS;MARTIN Sophie;VIR-0245;Virement recu MARTIN Sophie;;;3 500,00;A1
03/03/2026;VE;411MARTINS;MARTIN Sophie;FA-2026-0288;Module complementaire Python;02/04/2026;890,00;;
20/03/2026;BQ;411MARTINS;MARTIN Sophie;VIR-0391;Acompte MARTIN;;;400,00;
15/01/2026;VE;411DUBOISJ;DUBOIS Jean-Marc;FA-2026-0112;Formation Data Engineer;14/02/2026;7 200,00;;
28/02/2026;BQ;411DUBOISJ;DUBOIS Jean-Marc;VIR-0301;Reglement OPCO ATLAS dossier 55214;;;4 800,00;
05/04/2026;VE;411DUBOISJ;DUBOIS Jean-Marc;FA-2026-0355;Certification incluse;05/05/2026;450,00;;
08/02/2026;VE;411NGUYENL;NGUYEN Lan;FA-2026-0158;Bootcamp Cybersecurite;10/03/2026;5 400,00;;B7
02/03/2026;BQ;411NGUYENL;NGUYEN Lan;VIR-0333;Virement NGUYEN L.;;;5 400,00;B7
19/05/2026;VE;411NGUYENL;NGUYEN Lan;FA-2026-0512;Session de rattrapage;18/06/2026;350,00;;
22/01/2026;VE;411PETITC;PETIT Camille;FA-2026-0134;Formation Product Management;21/02/2026;4 100,00;;
14/06/2026;VE;411PETITC;PETIT Camille;FA-2026-0602;Coaching individuel;14/07/2026;1 200,00;;
30/06/2026;BQ;411PETITC;PETIT Camille;VIR-0688;Reglement partiel PETIT;;;2 000,00;
04/02/2026;VE;411LEROYT;LEROY Thomas;FA-2026-0149;Formation DevOps - financement personnel;06/03/2026;2 950,00;;C3
25/02/2026;BQ;411LEROYT;LEROY Thomas;VIR-0298;Virement LEROY T.;;;1 475,00;C3
25/03/2026;BQ;411LEROYT;LEROY Thomas;VIR-0402;Virement LEROY T. 2/2;;;1 475,00;C3
17/03/2026;VE;411GARCIAM;GARCIA Maria;FA-2026-0321;Formation Data Science;16/04/2026;6 800,00;;
11/04/2026;BQ;411GARCIAM;GARCIA Maria;VIR-0447;Reglement France Travail;;;6 800,00;
